Episode,Total Completion Time,Rescheduling Count
0,1105.376982535404,12.0
1,1487.6684240714526,14.0
2,1003.9454052829486,11.0
3,1038.8745393466731,12.0
4,1299.1035864225507,14.0
5,994.9267037608945,12.0
6,642.1537110087992,8.0
7,737.1246372992813,9.0
8,1266.6174705125034,12.0
9,1934.2820720795903,14.0
10,652.6149793987391,10.0
11,636.0353949093793,11.0
12,789.8981706285971,12.0
13,1040.7566042338756,12.0
14,1215.5884795218835,12.0
15,704.3389460643133,11.0
16,1314.7420651045759,13.0
17,1234.2307452908872,11.0
18,1096.6470150406103,13.0
19,754.8117563731232,16.0
20,1167.8155382243372,13.0
21,789.3921964899594,12.0
22,1682.338749833467,16.0
23,1079.7550885300163,12.0
24,1237.240277197955,11.0
25,1272.1298386988783,16.0
26,554.4603024494769,10.0
27,1338.7673269998438,13.0
28,651.9116917076187,9.0
29,1537.2516371550323,14.0
30,1060.3157854764336,10.0
31,830.8000676433368,12.0
32,962.2197014223709,9.0
33,934.7430027038413,11.0
34,948.5813207350654,13.0
35,1227.08337069528,12.0
36,1005.2195554656358,11.0
37,953.2724846087079,13.0
38,1252.496288361309,14.0
39,976.9133051419012,13.0
40,1046.7601464907355,11.0
41,850.3341641409071,14.0
42,958.3598646810218,11.0
43,893.7463361581605,9.0
44,927.9703627988202,12.0
45,1006.4689390288339,8.0
46,768.5525667533906,13.0
47,1182.2418362192568,16.0
48,961.7663931039309,12.0
49,1025.2304870150117,11.0
50,899.5448370077687,11.0
51,1167.0770991997883,11.0
52,890.0898107826142,10.0
53,1364.073845043698,11.0
54,916.2213644557462,6.0
55,956.7117000171296,11.0
56,1181.8675687766424,12.0
57,1021.2264185846531,12.0
58,1075.0286915604843,12.0
59,690.3136465964394,14.0
60,1154.4542019049188,11.0
61,956.843633572331,9.0
62,1268.1779608738075,13.0
63,724.7248347397484,14.0
64,1194.0392870139685,13.0
65,1274.136163978858,11.0
66,995.482429491637,10.0
67,1034.443320722132,11.0
68,1046.9285281646203,10.0
69,960.9734191296022,9.0
70,1141.5371305704841,11.0
71,1173.980757277937,12.0
72,1014.9297784836522,13.0
73,928.5376868243017,12.0
74,1239.187034726945,11.0
75,1145.5754732057958,13.0
76,1070.0248707854594,12.0
77,1149.8336527963938,16.0
78,1213.4202684400466,16.0
79,1122.8360064094782,12.0
80,797.2862170541603,8.0
81,1187.712529888232,13.0
82,1225.9002452063523,11.0
83,756.29929972232,12.0
84,691.1052330532966,7.0
85,1249.0359355328233,12.0
86,981.310828836232,10.0
87,1243.2875428842135,13.0
88,814.6823990524504,13.0
89,1197.5476126673075,13.0
90,712.9938393102277,7.0
91,1237.5586641138707,11.0
92,949.349873557107,14.0
93,1435.8744891001809,12.0
94,1223.0608857483298,12.0
95,600.5653083914607,10.0
96,1424.3967832513704,14.0
97,1068.4438512943414,14.0
98,1269.3237905789406,13.0
99,1079.0484036200105,13.0
